"Index","Date","Data"
0,"2009-05-04",2.52425920892002
1,"2009-05-05",-0.623047163256974
2,"2009-05-06",1.78308490537791
3,"2009-05-07",-1.5869738905337
4,"2009-05-08",2.14516418825394
5,"2009-05-11",-2.10262174721504
6,"2009-05-12",-0.229602056300718
7,"2009-05-13",-2.34650455452593
8,"2009-05-14",1.23189712035052
9,"2009-05-15",-1.44252403928384
10,"2009-05-18",2.40485457986876
11,"2009-05-19",-0.339201265013996
12,"2009-05-20",-0.794518270047582
13,"2009-05-21",-1.83413998967087
14,"2009-05-22",-0.304772964595651
15,"2009-05-26",2.2443190197351
16,"2009-05-27",-1.96663378388973
17,"2009-05-28",1.64971699432874
18,"2009-05-29",1.51193224834951
19,"2009-06-01",2.22356340069936
20,"2009-06-02",0.206590858569792
21,"2009-06-03",-1.62742863400529
22,"2009-06-04",1.33655846731763
23,"2009-06-05",-0.449253088379313
24,"2009-06-08",-0.234223294354046
25,"2009-06-09",0.42402936647804
26,"2009-06-10",-0.581546034448099
27,"2009-06-11",0.768421571121969
28,"2009-06-12",0.120656863766447
29,"2009-06-15",-2.21131450251614
30,"2009-06-16",-1.54957806848831
31,"2009-06-17",-0.288080836086825
32,"2009-06-18",1.03448957031507
33,"2009-06-19",0.369312126936542
34,"2009-06-22",-2.48784279648097
35,"2009-06-23",0.253602286285799
36,"2009-06-24",0.818825622474573
37,"2009-06-25",2.01588878689469
38,"2009-06-26",-0.301978615996507
39,"2009-06-29",1.10369845594846
40,"2009-06-30",-1.17565332640064
41,"2009-07-01",0.542004930549389
42,"2009-07-02",-2.43448098405138
43,"2009-07-06",0.291000304713782
44,"2009-07-07",-2.0063564406896
45,"2009-07-08",-0.32941121652121
46,"2009-07-09",0.430177174818668
47,"2009-07-10",-0.653327757529611
48,"2009-07-13",2.18464246381611
49,"2009-07-14",0.667928217976735
50,"2009-07-15",2.37683493519898
51,"2009-07-16",1.05922426637344
52,"2009-07-17",-0.142220418513958
53,"2009-07-20",1.33189910418724
54,"2009-07-21",0.441326574016378
55,"2009-07-22",-0.1645163568308
56,"2009-07-23",2.10832373724271
57,"2009-07-24",0.359100390553556
58,"2009-07-27",0.350529163249336
59,"2009-07-28",-0.462042757856357
60,"2009-07-29",-0.723198046159798
61,"2009-07-30",1.37287467087708
62,"2009-07-31",0.0236361935308699
63,"2009-08-03",1.64426116849206
64,"2009-08-04",0.354831481505764
65,"2009-08-05",-0.504532457530661
66,"2009-08-06",-0.854626009745332
67,"2009-08-07",1.50121430764082
68,"2009-08-10",-0.563319300154317
69,"2009-08-11",-1.54483635967203
70,"2009-08-12",1.34025715812798
71,"2009-08-13",0.861332436693871
72,"2009-08-14",-1.1757132245795
73,"2009-08-17",-2.23371254098764
74,"2009-08-18",1.21205257190048
75,"2009-08-19",0.859071567483035
76,"2009-08-20",1.28801070251659
77,"2009-08-21",1.85826918142502
78,"2009-08-24",-0.166208689758177
79,"2009-08-25",0.262682883863657
80,"2009-08-26",-0.0685358854598312
81,"2009-08-27",0.321994783683639
82,"2009-08-28",-0.375083364776322
83,"2009-08-31",-1.12909899304873
84,"2009-09-01",-2.13310781114147
85,"2009-09-02",-0.556761868556319
86,"2009-09-03",1.04780328543733
87,"2009-09-04",1.47543538665312
88,"2009-09-08",1.0807119944982
89,"2009-09-09",0.965315947393325
90,"2009-09-10",1.23863934419675
91,"2009-09-11",-0.28357766247221
92,"2009-09-14",0.796326825074433
93,"2009-09-15",0.372305058975746
94,"2009-09-16",1.64293784881803
95,"2009-09-17",-0.524555274418473
96,"2009-09-18",0.301292941796733
97,"2009-09-21",-0.571726801392029
98,"2009-09-22",0.824907031686009
99,"2009-09-23",-1.32395972618635
100,"2009-09-24",-1.27179429259947
101,"2009-09-25",-0.909909621595472
102,"2009-09-28",1.80861646419102
103,"2009-09-29",-0.40924149046259
104,"2009-09-30",-0.561070399848566
105,"2009-10-01",-2.29928427009728
106,"2009-10-02",-0.715872357568788
107,"2009-10-05",1.61057226730211
108,"2009-10-06",1.52218846457222
109,"2009-10-07",0.311948950639585
110,"2009-10-08",0.929937838369191
111,"2009-10-09",0.709428851944704
112,"2009-10-12",0.545300746098596
113,"2009-10-13",-0.487166244354096
114,"2009-10-14",1.79206466204993
115,"2009-10-15",0.514293007861821
116,"2009-10-16",-1.13134661273407
117,"2009-10-19",1.13859860889814
118,"2009-10-20",-0.927198158158983
119,"2009-10-21",-1.20797577125095
120,"2009-10-22",1.25959544026821
121,"2009-10-23",-1.50630172889509
122,"2009-10-26",-1.46836917890597
123,"2009-10-27",-0.559649874702351
124,"2009-10-28",-1.99851247914548
125,"2009-10-29",2.07069280241362
126,"2009-10-30",-2.393132807312
127,"2009-11-02",0.810593622333386
128,"2009-11-03",0.27085349739204
129,"2009-11-04",0.0684013095753178
130,"2009-11-05",1.89436214159805
131,"2009-11-06",0.281999363240716
132,"2009-11-09",2.05662229038201
133,"2009-11-10",-0.095235501297563
134,"2009-11-11",0.631038829338364
135,"2009-11-12",-1.34141512473934
136,"2009-11-13",0.72190047089969
137,"2009-11-16",1.58045714544461
138,"2009-11-17",0.0501965761752044
139,"2009-11-18",-0.154810686422033
140,"2009-11-19",-1.60396249442074
141,"2009-11-20",-0.54571163373555
142,"2009-11-23",1.51515868462143
143,"2009-11-24",-0.164373938640602
144,"2009-11-25",0.561130235343117
145,"2009-11-27",-1.86385990089345
146,"2009-11-30",0.464298945690683
147,"2009-12-01",1.38842981398219
148,"2009-12-02",-0.0351160008419994
149,"2009-12-03",-1.162601808366
